hanzi,pinyin,english
犧牲,xi1 sheng1,"to sacrifice oneself, to lay down one's life, to do sth at the expense of, beast slaughtered for sacrifice, sacrifice, CL:個|个[gè],"
嬰兒,ying1 er2,"infant, baby, CL:個|个[gè], lead (Pb),"
信仰,xin4 yang3,"to believe in (a religion), firm belief, conviction,"
媒體,mei2 ti3,"media, esp. news media,"
魔鬼,mo2 gui3,"devil,"
孤獨,gu1 du2,"lonely, solitary,"
懲罰,cheng2 fa2,"penalty, punishment, to punish,"
神奇,shen2 qi2,"magical, mystical, miraculous,"
磅,bang4,"see 磅秤 scale, platform balance, pound (unit of weight, about 454 grams),"
承諾,cheng2 nuo4,"to promise, to undertake to do something, commitment,"
間諜,jian4 die2,"spy,"
確信,que4 xin4,"to be convinced, to be sure, to firmly believe, to be positive that, definite news,"
哼,heng1,"to groan, to snort, to hum, to croon, humph!,"
尷尬,gan1 ga4,"awkward, embarrassed,"
生物,sheng1 wu4,"organism, living creature, life form, biological, CL:個|个[gè],"
能量,neng2 liang4,"energy, capabilities,"
清醒,qing1 xing3,"clear-headed, sober, awake,"
感染,gan3 ran3,"infection, to infect, to influence,"
指望,zhi3 wang4,"to hope for sth, to count on, hope,"
拋棄,pao1 qi4,"to abandon, to discard, to renounce, to dump (sb),"
美妙,mei3 miao4,"beautiful, wonderful, splendid,"
揍,zou4,"to beat up, to break to pieces,"
擅長,shan4 chang2,"to be good at, to be expert in,"
忍受,ren3 shou4,"to bear, to endure,"
動手,dong4 shou3,"to set about (a task), to hit, to punch, to touch,"
清理,qing1 li3,"to clear up, to tidy up, to dispose of,"
完畢,wan2 bi4,"to finish, to end, to complete,"
機構,ji1 gou4,"mechanism, structure, organization, agency, institution, CL:所[suǒ],"
即將,ji2 jiang1,"on the eve of, to be about to, to be on the verge of,"
鑽石,zuan4 shi2,"diamond, CL:顆|颗[kē],"
艱難,jian1 nan2,"difficult, hard, challenging,"
坦白,tan3 bai2,"honest, forthcoming, to confess,"
左右,zuo3 you4,"left and right, approximately, attendant, to control, to influence,"
痕跡,hen2 ji4,"vestige, mark, trace,"
區域,qu1 yu4,"area, region, district,"
鏡頭,jing4 tou2,"camera lens, camera shot (in a movie etc), scene,"
聯盟,lian2 meng2,"alliance, union, coalition,"
審判,shen3 pan4,"a trial, to try sb,"
基地,ji1 di4,"base (of operations), industrial or military base, al-Qaeda,"
假設,jia3 she4,"suppose that..., hypothesis, conjecture,"
嫉妒,ji2 du4,"to be jealous, to envy, to hate,"
保姆,bao3 mu3,"nanny, housekeeper,"
搖滾,yao2 gun3,"to shake and boil, rock and roll (music),"
放手,fang4 shou3,"to let go one's hold, to give up, to have a free hand,"
抱怨,bao4 yuan4,"to complain, to grumble,"
打架,da3 jia4,"to fight, to scuffle, to come to blows, CL:場|场[cháng],"
打擊,da3 ji1,"to hit, to strike, to attack, to crack down on sth, a setback, a blow, percussion (music),"
類似,lei4 si4,"similar, analogous,"
激情,ji1 qing2,"passion, fervor, enthusiasm, strong emotion,"
注射,zhu4 she4,"injection, to inject,"
