level,seq,simplified,traditional,pinyin,hsk_pinyin,english,cedict_meaning,freq
5,1544,构成,構成,gou4 cheng2,gòu chéng,"to constitute, to form, to compose, to make up, to configure (computing),","to constitute
to form
to compose
to make up
to configure (computing)",225
5,1301,车厢,車廂,che1 xiang1,chē xiāng,"carriage, CL:節|节[jié],","carriage
CL:節|节[jie2]",224
5,1545,姑姑,姑姑,gu1 gu5,gū gu,"paternal aunt, CL:個|个[gè],","paternal aunt
CL:個|个[ge4]",224
5,2191,围巾,圍巾,wei2 jin1,wéi jīn,"scarf, shawl, CL:條|条[tiáo],","scarf
shawl
CL:條|条[tiao2]",224
5,2253,消化,消化,xiao1 hua4,xiāo huà,"to digest, digestion, digestive,","to digest (food)
(fig.) to absorb (information etc); to assimilate; to process",224
5,2146,体现,體現,ti3 xian4,tǐ xiàn,"to embody, to reflect, to incarnate,","to embody
to reflect
to incarnate",222
5,1578,规律,規律,gui1 lv4,guī lǜ,"rule (e.g. of science), law of behavior, regular pattern, rhythm, discipline,","rule (e.g. of science)
law of behavior
regular pattern
rhythm
discipline",221
5,2492,祖先,祖先,zu3 xian1,zǔ xiān,"ancestor, forebears,","ancestor
forebears",221
5,1262,不得了,不得了,bu4 de2 liao3,bù dé liǎo,"desperately serious, disastrous, extremely, exceedingly,","desperately serious
disastrous
extremely
exceedingly",220
5,1855,密切,密切,mi4 qie4,mì qiè,"close, familiar, intimate, closely (related), to foster close ties, to pay close attention,","close
familiar
intimate
closely (related)
to foster close ties
to pay close attention",220
5,2177,外交,外交,wai4 jiao1,wài jiāo,"diplomacy, diplomatic, foreign affairs, CL:個|个[gè],","diplomacy
diplomatic
foreign affairs
CL:個|个[ge4]",218
5,1489,否定,否定,fou3 ding4,fǒu dìng,"to negate, to deny, to reject, negative (answer), negation,","to negate
to deny
to reject
negative (answer)
negation",217
5,1565,观念,觀念,guan1 nian4,guān niàn,"notion, thought, concept, sense, views, ideology, general impressions,","notion
thought
concept
sense
views
ideology
general impressions",217
5,1412,递,遞,di4,dì,"to hand over, to pass on sth, to gradually increase or decrease, progressively,","to hand over; to pass on; to deliver
(bound form) progressively; in the proper order",216
5,1551,鼓舞,鼓舞,gu3 wu3,gǔ wǔ,"heartening (news), boost (morale), CL:個|个[gè],","heartening (news)
to boost (morale)
CL:個|个[ge4]",216
5,1690,浇,澆,jiao1,jiāo,"to pour liquid, to irrigate (using waterwheel), to water, to cast (molten metal), to mold,","to pour liquid
to irrigate (using waterwheel)
to water
to cast (molten metal)
to mold",216
5,1579,规模,規模,gui1 mo2,guī mó,"scale, scope, extent, CL:個|个[gè],","scale
scope
extent
CL:個|个[ge4]",215
5,1675,艰苦,艱苦,jian1 ku3,jiān kǔ,"difficult, hard, arduous,","difficult
hard
arduous",214
5,1912,佩服,佩服,pei4 fu2,pèi fú,"to admire,",to admire,214
5,2017,嗓子,嗓子,sang3 zi5,sǎng zi,"throat, voice, CL:把[bǎ],","throat
voice
CL:把[ba3]",214
5,2398,召开,召開,zhao4 kai1,zhào kāi,"to convene (a conference or meeting), to convoke, to call together,","to convene (a conference or meeting)
to convoke
to call together",214
5,2413,整体,整體,zheng3 ti3,zhěng tǐ,"whole entity, entire body, synthesis, as a whole (situation, construction, team etc), global, macrocosm, integral, holistic, whole,","whole entity
entire body
synthesis
as a whole (situation, construction, team etc)
global
macrocosm
integral
holistic
whole",213
5,1442,吨,噸,dun1,dūn,"ton, Taiwan pr. [dùn],","ton (loanword)
Taiwan pr. [dun4]",212
5,1943,启发,啟發,qi3 fa1,qǐ fā,"to enlighten, to explain and arouse interest, to inspire, inspiration, heuristic (attributively), to teach, CL:個|个[gè],","to enlighten
to explain (a text etc)
to stimulate (a mental attitude)
enlightenment
revelation
motivation",212
5,2083,手工,手工,shou3 gong1,shǒu gōng,"handwork, manual,","handwork
manual",212
5,2339,营养,營養,ying2 yang3,yíng yǎng,"nutrition, nourishment, CL:種|种[zhǒng],","nutrition
nourishment
CL:種|种[zhong3]",212
5,2360,幼儿园,幼兒園,you4 er2 yuan2,yòu ér yuán,"kindergarten, nursery school,","kindergarten
nursery school",212
5,1359,匆忙,匆忙,cong1 mang2,cōng máng,"hasty, hurried,","hasty
hurried",211
5,1913,盆,盆,pen2,pén,"basin, flower pot, unit of volume equal to 12 斗 and 8 升, approx 128 liters, CL:個|个[gè],","basin
flower pot
unit of volume equal to 12 斗[dou3] and 8 升[sheng1], approx 128 liters
CL:個|个[ge4]",211
5,1361,从而,從而,cong2 er2,cóng ér,"thus, thereby,","thus
thereby",210
5,1646,及格,及格,ji2 ge2,jí gé,"to pass a test,","to pass an exam or a test
to meet a minimum standard",210
