level,seq,simplified,traditional,pinyin,hsk_pinyin,english,cedict_meaning,freq
1,112,我,我,wo3,wǒ,"I, me, my",I; me; my,1682285
1,73,你,你,ni3,nǐ,you (informal),"you (informal, as opposed to courteous 您[nin2])",1329424
1,97,是,是,shi4,shì,"is, are, am, to be","to be (followed by substantives only)
correct; right; true
(respectful acknowledgement of a command) very well
(adverb for emphatic assertion)",947807
1,55,了,了,le5,le,"particle for completed actions, intensifier","(completed action marker)
(modal particle indicating change of state, situation now)
(modal particle intensifying preceding clause)",946365
1,8,不,不,bu4,bù,"not, no, (negative prefix)","no; not so
(bound form) not; un-",689161
1,15,的,的,de5,de,"of, possessive particle","of; ~'s (possessive particle)
(used after an attribute)
(used to form a nominal expression)
(used at the end of a declarative sentence for emphasis)
also pr. [di4] or [di5] in poetry and songs",1682530
1,138,在,在,zai4,zài,(located) at,"to exist; to be alive
(of sb or sth) to be (located) at
(used before a verb to indicate an action in progress)",429766
1,105,他,他,ta1,tā,"he or him
(used for either sex when the sex is unknown or unimportant)","he; him (used for either sex when the sex is unknown or unimportant)
(used before sb's name for emphasis)
(used as a meaningless mock object)
(literary) other",397653
1,113,我们,我們,wo3 men5,wǒ men,"we, us, our","we
us
ourselves
our",371696
1,36,好,好,hao3,hǎo,good,"good
appropriate; proper
all right!
(before a verb) easy to
(before a verb) good to
(before an adjective for exclamatory effect) so
(verb complement indicating completion)
(of two people) close; on intimate terms
(after a personal pronoun) hello",334698
1,136,有,有,you3,yǒu,"to have, there is, there are","to have; there is
(bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional)",289109
1,142,这,這,zhe4,zhè,this,"(pronoun) this; these
(bound form) this; the (followed by a noun)
(bound form) this; these (followed by a classifier) (in this sense, commonly pr. [zhei4], esp. in Beijing)",286987
1,42,会,會,hui4,huì,"can, will, be likely to","can (i.e. have the skill, know how to)
likely to
sure to
to meet
to get together
meeting
gathering
union
group
association
a moment (Taiwan pr. for this sense is [hui3])",265929
1,61,吗,嗎,ma5,ma,yes/no question particle,(coll.) what?,249187
1,94,什么,什麼,shen2 me5,shén me,what? something,"what?
something
anything",236517
1,106,她,她,ta1,tā,"she, her",she,221420
1,121,想,想,xiang3,xiǎng,"to think, desire, would like to","to think (about)
to think of; to devise
to think (that); to believe (that)
to desire; to want (to)
to miss (feel wistful about the absence of)",212185
1,131,一,一,yi1,yī,"one, 1","one
single
a (article)
as soon as
entire; whole; all; throughout
'one' radical in Chinese characters (Kangxi radical 1)
also pr. [yao1] for greater clarity when spelling out numbers digit by digit",203626
1,39,很,很,hen3,hěn,"very, quite","(adverb of degree)
quite
very
awfully",200584
1,85,人,人,ren2,rén,"person, people","person; people
CL:個|个[ge4],位[wei4]",194914
1,70,那,那,na4,nà,that,surname Na,190087
1,53,来,來,lai2,lái,to come,"to come
to arrive
to come round
ever since
next",185154
1,21,都,都,dou1,dōu,all,surname Du,177619
1,32,个,個,ge4,gè,general measure word,used in 自個兒|自个儿[zi4 ge3 r5],173905
1,72,能,能,neng2,néng,to be able to,surname Neng,166656
1,83,去,去,qu4,qù,to go,"to go
to go to (a place)
(of a time etc) last
just passed
to send
to remove
to get rid of
to reduce
to be apart from in space or time
to die (euphemism)
to play (a part)
(when used either before or after a verb) to go in order to do sth
(after a verb of motion indicates movement away from the speaker)
(used after certain verbs to indicate detachment or separation)",163054
1,64,没,沒,mei2,méi,"(negative prefix for verbs), have not, not,",(negative prefix for verbs) have not; not,159508
1,38,和,咊,he2,hé,and,old variant of 和[he2],150418
1,150,做,做,zuo4,zuò,"to make, to do","to make; to produce
to write; to compose
to do; to engage in; to hold (a party etc)
(of a person) to be (an intermediary, a good student etc); to become (husband and wife, friends etc)
(of a thing) to serve as; to be used for
to assume (an air or manner)",122364
1,90,上,上,shang4,shàng,"on top, above",used in 上聲|上声[shang3 sheng1],114371
1,50,看,看,kan4,kàn,"to see, look, watch","to look after
to take care of
to watch
to guard",102546
1,140,怎么,怎麼,zen3 me5,zěn me,how?,"how?
what?
why?",89166
1,120,现在,現在,xian4 zai4,xiàn zài,now,"now
at present
at the moment
modern
current
nowadays",88120
1,16,点,點,dian3,diǎn,"point, o'clock","point
dot
drop
speck
o'clock
point (in space or time)
to draw a dot
to check on a list
to choose
to order (food in a restaurant)
to touch briefly
to hint
to light
to ignite
to pour a liquid drop by drop
(old) one fifth of a two-hour watch 更[geng1]
dot stroke in Chinese characters
classifier for items",77665
1,71,呢,呢,ne5,ne,"reciprocal particle, what about… ?","particle indicating that a previously asked question is to be applied to the preceding word ('What about ...?', 'And ...?')
particle for inquiring about location ('Where is ...?')
particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board ('ok?', 'are you with me?')
(at the end of a declarative sentence) particle indicating continuation of a state or action
particle indicating strong affirmation",76752
1,107,太,太,tai4,tài,"too (much), very, highest","highest
greatest
too (much)
very
extremely",65151
1,57,里,裏,li3,lǐ,"in, inside",variant of 裡|里[li3],63276
1,109,听,听,ting1,tīng,to listen,smile (archaic),54888
1,93,谁,誰,shei2,shéi,who?,"who
also pr. [shui2]",52782
1,24,多,多,duo1,duō,many,"many; much
too many; in excess
(after a numeral) ... odd
how (to what extent) (Taiwan pr. [duo2])
(bound form) multi-; poly-",52605
1,96,时候,時候,shi2 hou5,shí hou,time,"time
length of time
moment
period",52176
1,116,下,下,xia4,xià,"down, below","down
downwards
below
lower
later
next (week etc)
second (of two parts)
to decline
to go down
to arrive at (a decision, conclusion etc)
measure word to show the frequency of an action",51975
1,126,谢谢,謝謝,xie4 xie5,xiè xie,"to thank, thanks","to thank
thanks
thank you",51457
1,119,先生,先生,xian1 sheng5,xiān sheng,"mister, sir","teacher
gentleman; sir; mister (Mr.)
husband
(dialect) doctor
CL:位[wei4]",46864
1,115,喜欢,喜歡,xi3 huan5,xǐ huan,to like,to like; to be fond of,46146
1,14,大,大,da4,dà,big,"big; large; great
older (than another person)
eldest (as in 大姐[da4 jie3])
greatly; freely; fully
(dialect) father
(dialect) uncle (father's brother)",45061
1,20,东西,東西,dong1 xi1,dōng xi,"thing, stuff",east and west,38127
1,122,小,小,xiao3,xiǎo,small,"small
tiny
few
young",34967
1,46,叫,叫,jiao4,jiào,"to call, be called (a name)","to shout
to call
to order
to ask
to be called
by (indicates agent in the passive mood)",34648
1,7,不客气,不客氣,bu4 ke4 qi5,bù kè qi,you're welcome,"you're welcome
don't mention it
impolite
rude
blunt",0
1,1,爱,愛,ai4,ài,to love,"to love; to be fond of; to like
affection
to be inclined (to do sth); to tend to (happen)",31122
1,74,年,年,nian2,nián,year,,30648
1,82,请,請,qing3,qǐng,"to invite, please (request), to treat","to ask
to invite
please (do sth)
to treat (to a meal etc)
to request",30598
1,41,回,回,hui2,huí,to return,"to circle
to go back
to turn around
to answer
to return
to revolve
Hui ethnic group (Chinese Muslims)
time
classifier for acts of a play
section or chapter (of a classic book)",30259
1,33,工作,工作,gong1 zuo4,gōng zuò,"to work, job, task","to work
(of a machine) to operate
job
work
task
CL:個|个[ge4],份[fen4],項|项[xiang4]",30191
1,80,钱,錢,qian2,qián,money,,29221
1,11,吃,吃,chi1,chī,to eat,"to eat
to consume
to eat at (a cafeteria etc)
to eradicate
to destroy
to absorb
to suffer
to stammer (Taiwan pr. for this sense is [ji2])",27913
1,49,开,開,kai1,kāi,"to open, operate","to open
to start
to turn on
to boil
to write out (a prescription, check, invoice etc)
to operate (a vehicle)
carat (gold)
abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2]
abbr. for 開本|开本[kai1 ben3], book format",27382
1,45,家,傢,jia1,jiā,home,used in 傢伙|家伙[jia1 huo5] and 傢俱|家俱[jia1 ju4],27026
1,69,哪,哪,na3,nǎ,which,"how
which",26385
1,76,朋友,朋友,peng2 you5,péng you,friend,"friend
CL:個|个[ge4],位[wei4]",26017
1,60,妈妈,媽媽,ma1 ma5,mā ma,(informal) mother,"mama
mommy
mother
CL:個|个[ge4],位[wei4]",25730
1,47,今天,今天,jin1 tian1,jīn tiān,today,"today
at the present
now",24750
1,44,几,几,ji3,jǐ,how many (small number),small table,22431
1,3,爸爸,爸爸,ba4 ba5,bà ba,(informal) father,"(informal) father
CL:個|个[ge4],位[wei4]",21930
1,124,些,些,xie1,xiē,"measure word indicating a small number, some, a few","classifier indicating a small amount or small number greater than 1: some, a few, several",21286
1,141,怎么样,怎麼樣,zen3 me5 yang4,zěn me yàng,"how about?
how was it?
how are things?","how?
how about?
how was it?
how are things?",20986
1,23,对不起,對不起,dui4 bu5 qi3,duì bu qǐ,"I'm sorry; excuse me; I beg your pardon
to let (sb) down; to disappoint","I'm sorry; excuse me; I beg your pardon
to let (sb) down; to disappoint",20548
1,145,住,住,zhu4,zhù,"to live, stay, reside","to live
to dwell
to stay
to reside
to stop
(suffix indicating firmness, steadiness, or coming to a halt)",19602
1,88,三,三,San1,sān,"three, 3",surname San,16916
1,31,高兴,高興,gao1 xing4,gāo xìng,"happy, glad","happy
glad
willing (to do sth)
in a cheerful mood",16480
1,62,买,買,mai3,mǎi,"to buy, to purchase","to buy
to purchase",15766
1,133,医生,醫生,yi1 sheng1,yī shēng,doctor,"doctor
CL:個|个[ge4],位[wei4],名[ming2]",15679
1,68,名字,名字,ming2 zi5,míng zi,name (of a person or thing),"name (of a person or thing)
CL:個|个[ge4]",14335
1,86,认识,認識,ren4 shi5,rèn shi,"to know (a person), recognise, be familiar with","to know
to recognize
to be familiar with
to get acquainted with sb
knowledge
understanding
awareness
cognition",14304
1,149,坐,坐,zuo4,zuò,to sit,surname Zuo,14204
1,37,喝,喝,he1,hē,to drink,"to drink
variant of 嗬[he1]",14004
1,125,写,寫,xie3,xiě,to write,to write,13589
1,137,月,月,yue4,yuè,"month, moon","moon
month
monthly
CL:個|个[ge4],輪|轮[lun2]",12253
1,34,狗,狗,gou3,gǒu,dog,"dog
CL:隻|只[zhi1],條|条[tiao2]",11808
1,104,岁,嵗,sui4,suì,classifier for years (of age),"variant of 歲|岁[sui4], year
years old",11556
1,51,看见,看見,kan4 jian4,kàn jiàn,"to see, to catch sight of","to see
to catch sight of",11442
1,13,打电话,打電話,da3 dian4 hua4,dǎ diàn huà,to make a telephone call,to make a telephone call,11289
1,111,喂,喂,wei2,wèi,hello (when answering the phone),hello (when answering the phone),11286
1,26,儿子,兒子,er2 zi5,ér zi,son,son,11100
1,77,漂亮,漂亮,piao4 liang5,piào liang,"pretty, beautiful","pretty
beautiful",11032
1,30,分钟,分鐘,fen1 zhong1,fēn zhōng,minute,minute,11029
1,139,再见,再見,zai4 jian4,zài jiàn,goodbye,"goodbye
see you again later",10958
1,6,本,本,ben3,běn,"measure word for books, root, origin","root
stem
origin
source
this
the current
original
inherent
originally
classifier for books, periodicals, files etc",10526
1,67,明天,明天,ming2 tian1,míng tiān,tomorrow,tomorrow,10108
1,25,多少,多少,duo1 shao3,duō shao,how much? (larger number),"number
amount
somewhat",9965
1,52,块,塊,kuai4,kuài,"piece, measure word for cake, dollars, lumps","lump (of earth)
chunk
piece
classifier for pieces of cloth, cake, soap etc
(coll.) classifier for money and currency units",9365
1,102,说话,說話,shuo1 hua4,shuō huà,"to speak, to say","to speak
to say
to talk
to gossip
to tell stories
talk
word",8985
1,75,女儿,女兒,nv3 er2,nǚ ér,daughter,daughter,8450
1,123,小姐,小姐,xiao3 jie5,xiǎo jie,"young lady, miss","young lady
miss
(slang) prostitute
CL:個|个[ge4],位[wei4]",8423
1,132,衣服,衣服,yi1 fu5,yī fu,clothes,"clothes
CL:件[jian4],套[tao4]",8130
1,99,水,水,shui3,shuǐ,water,,7581
1,130,学校,學校,xue2 xiao4,xué xiào,school,"school
CL:所[suo3]",7502
1,19,电影,電影,dian4 ying3,diàn yǐng,movie,"movie; film
CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]",7249
1,98,书,書,shu1,shū,book,,7152
1,103,四,四,si4,sì,"four, 4","four
4",6979
1,114,五,五,wu3,wǔ,"five, 5","five
5",5903
1,134,医院,醫院,yi1 yuan4,yī yuàn,hospital,"hospital
CL:所[suo3],家[jia1],座[zuo4]",5391
1,92,少,少,shao3,shǎo,"few, not many","few
less
to lack
to be missing
to stop (doing sth)
seldom",5325
1,65,没关系,沒關係,mei2 guan1 xi5,méi guān xi,"it doesn't matter, no worries",it doesn't matter,5276
1,29,飞机,飛機,fei1 ji1,fēi jī,airplane,"airplane
CL:架[jia4]",5020
1,27,二,二,er4,èr,"two, 2","two
2
(Beijing dialect) stupid",4849
1,18,电视,電視,dian4 shi4,diàn shì,"television, TV","television; TV
CL:臺|台[tai2],個|个[ge4]",4816
1,22,读,讀,du2,dú,to read,,4661
1,40,后面,後面,hou4 mian5,hòu mian,"rear, back, behind, later, afterwards","the back; the rear; the last bit
behind; near the end; at the back
later; afterwards",4500
1,148,昨天,昨天,zuo2 tian1,zuó tiān,yesterday,yesterday,4483
1,87,日,日,ri4,rì,day,,4114
1,101,睡觉,睡覺,shui4 jiao4,shuì jiào,"sleep, to go to bed","to go to bed
to sleep",3999
1,59,六,六,liu4,liù,"six, 6","six
6",3898
1,54,老师,老師,lao3 shi1,lǎo shī,teacher,"teacher
CL:個|个[ge4],位[wei4]",3879
1,127,星期,星期,xing1 qi1,xīng qī,week,"week
CL:個|个[ge4]
day of the week
Sunday",3837
1,95,十,十,shi2,shí,"ten, 10","ten
10",3610
1,63,猫,貓,mao1,māo,cat,"cat
CL:隻|只[zhi1]
(dialect) to hide oneself
(coll.) modem",3524
1,17,电脑,電腦,dian4 nao3,diàn nǎo,computer,"computer
CL:臺|台[tai2]",3210
1,84,热,熱,re4,rè,"hot, heat, to warm up","to warm up
to heat up
hot (of weather)
heat
fervent",3025
1,128,学生,學生,xue2 sheng5,xué sheng,student,"student
schoolchild",2942
1,117,下午,下午,xia4 wu3,xià wǔ,afternoon,"afternoon
CL:個|个[ge4]
p.m.",2928
1,147,字,字,zi4,zì,"letter, character, symbol","letter
symbol
character
word
CL:個|个[ge4]
courtesy or style name traditionally given to males aged 20 in dynastic China",2572
1,129,学习,學習,xue2 xi2,xué xí,"to learn, to study","to learn
to study",2385
1,56,冷,冷,leng3,lěng,cold,,2343
1,81,前面,前面,qian2 mian4,qián miàn,"ahead, in front, preceding","ahead
in front
preceding
above
also pr. [qian2 mian5]",2158
1,2,八,八,ba1,bā,"eight, 8",eight; 8,2090
1,143,中国,中國,zhong1 guo2,Zhōng guó,China,China,1994
1,79,七,七,qi1,qī,"seven, 7","seven
7",1972
1,9,菜,菜,cai4,cài,"dish (type of food), vegetable, cuisine","dish (type of food)
vegetable
cuisine
CL:盤|盘[pan2],道[dao4]
(coll.) (one's) type
(of one's skills etc) weak
poor",1963
1,146,桌子,桌子,zhuo1 zi5,zhuō zi,"table, desk","table
desk
CL:張|张[zhang1],套[tao4]",1641
1,12,出租车,出租車,chu1 zu1 che1,chū zū chē,taxi,"taxi
(Tw) rental car",1522
1,108,天气,天氣,tian1 qi4,tiān qì,weather,weather,1260
1,10,茶,茶,cha2,chá,tea,"tea
tea plant
CL:杯[bei1],壺|壶[hu2]",1245
1,48,九,九,jiu3,jiǔ,"nine, 9","nine
9",1234
1,89,商店,商店,shang1 dian4,shāng diàn,"store, shop","store
shop
CL:家[jia1],個|个[ge4]",1224
1,135,椅子,椅子,yi3 zi5,yǐ zi,chair,"chair
CL:把[ba3],套[tao4]",1184
1,110,同学,同學,tong2 xue2,tóng xué,classmate,"to study at the same school
fellow student
classmate
CL:位[wei4],個|个[ge4]",1018
1,78,苹果,蘋果,ping2 guo3,píng guǒ,apple,"apple
CL:個|个[ge4],顆|颗[ke1]",766
1,144,中午,中午,zhong1 wu3,zhōng wǔ,"noon, midday","noon
midday
CL:個|个[ge4]",637
1,91,上午,上午,shang4 wu3,shàng wǔ,morning,"morning
CL:個|个[ge4]",595
1,100,水果,水果,shui3 guo3,shuǐ guǒ,fruit,"fruit
CL:個|个[ge4]",591
1,58,零,零,ling2,líng,zero,"zero
nought
zero sign
fractional
fragmentary
odd (of numbers)
(placed between two numbers to indicate a smaller quantity followed by a larger one)
fraction
(in mathematics) remainder (after division)
extra
to wither and fall
to wither",579
1,4,杯子,杯子,bei1 zi5,bēi zi,cup,"cup
glass
CL:個|个[ge4],隻|只[zhi1]",541
1,118,下雨,下雨,xia4 yu3,xià yǔ,to rain,to rain,250
1,43,火车站,火車站,huo3 che1 zhan4,huǒ chē zhàn,train station,train station,235
1,66,米饭,米飯,mi3 fan4,mǐ fàn,(cooked) rice,(cooked) rice,147
1,5,北京,北京,bei3 jing1,Běi jīng,Beijing,"Beijing, capital of the People's Republic of China",139
1,28,饭馆,飯館,fan4 guan3,fàn guǎn,restaurant,"restaurant
CL:家[jia1]",63
1,35,汉语,漢語,han4 yu3,Hàn yǔ,Chinese language,"Chinese language
CL:門|门[men2]",32
,,,,,,,,
2,203,就,就,jiu4,jiù,"at once, in that case, then","(after a suppositional clause) in that case; then
(after a clause of action) as soon as; immediately after
(same as 就是[jiu4 shi4]) merely; nothing else but; simply; just; precisely; exactly
only; as little as
as much as; as many as
to approach; to move towards
to undertake; to engage in
(often followed by 著|着[zhe5]) taking advantage of
(of food) to go with
with regard to; concerning
(pattern: 就[jiu4] ... 也[ye3] ...) even if ... still ...
(pattern: 不[bu4] ... 就[jiu4] ...) if not ... then must be ...",276636
2,273,要,要,yao4,yào,"want, shall, will, ask for, need",,238656
2,295,知道,知道,zhi1 dao4,zhī dào,to know,"to know; to become aware of
also pr. [zhi1 dao5]",196745
2,151,吧,吧,ba5,ba,"modal particle indicating suggestion or surmise, ...right?, ...OK?, ...I presume.,",,194084
2,169,到,到,dao4,dào,"to reach, to arrive
to (a place)
until (a time)","to reach; to arrive
to leave for; to go to
to (a place); until (a time); up to (a point)
(verb complement indicating arriving at a place or reaching a point)
considerate; thoughtful; thorough",139534
2,274,也,也,ye3,yě,also,surname Ye,131801
2,186,还,還,hai2,hái,"still, still in progress, still more",,130326
2,237,让,讓,rang4,ràng,"to let/permit (sb do sth)
to make/have (sb do or feel sth)","to yield
to permit
to let sb do sth
to have sb do sth
to make sb (feel sad etc)
by (indicates the agent in a passive clause, like 被[bei4])",123809
2,181,给,給,gei3,gěi,"to give
preposition like “to” or “for”","to
for
for the benefit of
to give
to allow
to do sth (for sb)
(grammatical equivalent of 被)
(grammatical equivalent of 把)
(sentence intensifier)",117218
2,171,得,得,de2,děi,"to have to, must, ought to, to need to,
structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc,","to obtain
to get
to gain
to catch (a disease)
proper
suitable
proud
contented
to allow
to permit
ready
finished",105189
2,293,真,真,zhen1,zhēn,"really, truly, indeed","really
truly
indeed
real
true
genuine",102445
2,292,着,著,zhe5,zhe,"aspect particle indicating action in progress,",,100091
2,209,可以,可以,ke3 yi3,kě yǐ,"can, may, possible, able to,","can
may
possible
able to
not bad
pretty good",79198
2,157,别,別,bie2,bié,"do not, must not",,69865
2,298,走,走,zou3,zǒu,"to walk, to leave","to walk
to go
to run
to move (of vehicle)
to visit
to leave
to go away
to die (euph.)
from
through
away (in compound verbs, such as 撤走[che4 zou3])
to change (shape, form, meaning)",65258
2,179,告诉,告訴,gao4 su5,gào su,to tell,,61222
2,279,因为,因為,yin1 wei4,yīn wèi,because,"because
owing to
on account of",59823
2,286,再,再,zai4,zài,"again, once more","again; once more; re-
second; another
then (after sth, and not until then)
no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis)",56520
2,211,快,快,kuai4,kuài,"fast, rapid, quick, soon","rapid
quick
speed
rate
soon
almost
to make haste
clever
sharp (of knives or wits)
forthright
plainspoken
gratified
pleased
pleasant",53510
2,168,但是,但是,dan4 shi4,dàn shì,"but, however",but; however,52718
2,275,已经,已經,yi3 jing1,yǐ jīng,already,already,51772
2,204,觉得,覺得,jue2 de5,jué de,"to think, to feel (that) ...","to think that ...; to feel that ...
to feel (uncomfortable etc)",51047
2,248,它,它,ta1,tā,it,it,49024
2,164,从,從,cong2,cóng,from,,47313
2,291,找,找,zhao3,zhǎo,"to look for, to seek, to find","to try to find
to look for
to call on sb
to find
to seek
to return
to give change",46647
2,299,最,最,zui4,zuì,"most, the most, -est (superlative suffix)",variant of 最[zui4],46464
2,256,为,為,wei4,wèi,"because of, for, to,","as (in the capacity of)
to take sth as
to act as
to serve as
to behave as
to become
to be
to do
by (in the passive voice)",45565
2,208,可能,可能,ke3 neng2,kě néng,"might (happen), maybe, possible, perhaps","might (happen)
possible
probable
possibility
probability
maybe
perhaps
CL:個|个[ge4]",44424
2,163,次,次,ci4,cì,"occurence, time","next in sequence
second
the second (day, time etc)
secondary
vice-
sub-
infra-
inferior quality
substandard
order
sequence
hypo- (chemistry)
classifier for enumerated events: time",43873
2,160,出,出,chu1,chū,"to go out, to come out, exit","to go out
to come out
to occur
to produce
to go beyond
to rise
to put forth
to happen
(used after a verb to indicate an outward direction or a positive result)
classifier for dramas, plays, operas etc",42784
2,187,孩子,孩子,hai2 zi5,hái zi,child,child,37243
2,247,所以,所以,suo3 yi3,suǒ yǐ,"therefore, as a result, so","therefore
as a result
so
the reason why",37014
2,215,两,兩,liang3,liǎng,"two, both","two
both
some
a few
tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)",36580
2,165,错,錯,cuo4,cuò,"mistake, error, fault",,36166
2,258,问题,問題,wen4 ti2,wèn tí,"question, problem, issue","question
problem
issue
topic
CL:個|个[ge4]",33364
2,276,一起,一起,yi1 qi3,yī qǐ,together,"in the same place
together
with
altogether (in total)",32889
2,206,开始,開始,kai1 shi3,kāi shǐ,"to begin, to start","to begin
beginning
to start
initial
CL:個|个[ge4]",32126
2,242,时间,時間,shi2 jian1,shí jiān,"time, period","time
period
CL:段[duan4]",30703
2,243,事情,事情,shi4 qing5,shì qing,"affair, matter, thing","affair
matter
thing
business
CL:件[jian4],樁|桩[zhuang1]",28176
2,176,非常,非常,fei1 chang2,fēi cháng,"extremely, very, extraordinary","very; really
unusual; extraordinary",26976
2,260,希望,希望,xi1 wang4,xī wàng,"hope, desire, wish for","to wish for
to desire
hope
CL:個|个[ge4]",26658
2,296,准备,準備,zhun3 bei4,zhǔn bèi,"preparation, to prepare","preparation
to prepare
to intend
to be about to
reserve (fund)",22202
2,156,比,比,bi3,bǐ,(comparison particle),"Belgium
Belgian
abbr. for 比利時|比利时[Bi3 li4 shi2]",21371
2,257,问,問,wen4,wèn,to ask,to ask; to inquire,20455
2,197,件,件,jian4,jiàn,"classifier for events, things, clothes","item
component
classifier for events, things, clothes etc",19568
2,277,意思,意思,yi4 si5,yì si,"meaning, idea, opinion","idea
opinion
meaning
wish
desire
interest
fun
token of appreciation, affection etc
CL:個|个[ge4]
to give as a small token
to do sth as a gesture of goodwill etc",19239
2,173,第一,第一,di4 yi1,dì yī,"first, number one","first
number one
primary",18192
2,201,进,進,jin4,jìn,"to enter, to go in","to go forward
to advance
to go in
to enter
to put in
to submit
to take in
to admit
(math.) base of a number system
classifier for sections in a building or residential compound",17634
2,167,大家,大家,da4 jia1,dà jiā,everyone,"everyone
influential family
great expert",17458
2,265,新,新,xin1,xīn,new,,17291
2,225,您,您,nin2,nín,you (courteous/formal),"you (courteous, as opposed to informal 你[ni3])",17279
2,262,向,向,xiang4,xiàng,"towards, to turn towards, direction",,17219
2,227,女人,女人,nv3 ren2,nǚ rén,woman,woman,14388
2,161,穿,穿,chuan1,chuān,"to wear, to put on (clothes)","to wear
to put on
to dress
to bore through
to pierce
to perforate
to penetrate
to pass through
to thread",13586
2,246,送,送,song4,sòng,"to deliver, to send, to give (as a present), to present (with)","to send; to deliver; to transmit
to give (as a present)
to see (sb) off
to accompany; to go along with",13212
2,254,玩,玩,wan2,wán,"to play, to have fun","to play
to have fun
to trifle with
toy
sth used for amusement
curio or antique (Taiwan pr. [wan4])
to keep sth for entertainment",13033
2,158,长,長,chang2,cháng,"length, long","length
long
forever
always
constantly",12173
2,189,号,號,hao4,hào,"ordinal number, day of the month",,11862
2,263,小时,小時,xiao3 shi2,xiǎo shí,hour,"hour
CL:個|个[ge4]",11709
2,224,男人,男人,nan2 ren2,nán rén,"a man, a male, men","a man
a male
men
CL:個|个[ge4]",11608
2,253,完,完,wan2,wán,"to finish, to be over, whole, complete, entire,","to finish
to be over
whole
complete
entire",11162
2,288,张,張,zhang1,zhāng,"classifier for flat objects, e.g. sheets, photos",surname Zhang,11146
2,245,手机,手機,shou3 ji1,shǒu jī,"cell phone, mobile phone","cell phone
mobile phone
CL:部[bu4],支[zhi1]",3634
2,222,妹妹,妹妹,mei4 mei5,mèi mei,younger sister,"younger sister
young woman
CL:個|个[ge4]",3262
2,221,每,每,mei3,měi,"each, every","each
every",10154
2,184,公司,公司,gong1 si1,gōng sī,"(business) company, firm","company; firm; corporation
CL:家[jia1]",10046
2,154,帮助,幫助,bang1 zhu4,bāng zhù,"to help, to assist","assistance
aid
to help
to assist",10033
2,255,晚上,晚上,wan3 shang5,wǎn shang,"evening, night","evening
night
CL:個|个[ge4]
in the evening",9574
2,223,门,門,men2,mén,"door, gate
(plural marker)",,8879
2,192,欢迎,歡迎,huan1 ying2,huān yíng,welcome,"to welcome
welcome",8674
2,232,妻子,妻子,qi1 zi3,qī zi,wife,wife and children,6494
2,220,忙,忙,mang2,máng,busy,"busy
hurriedly
to hurry
to rush",8342
2,218,卖,賣,mai4,mài,to sell,"to sell
to betray
to spare no effort
to show off or flaunt",7475
2,178,高,高,gao1,gāo,"tall, high",,7415
2,175,房间,房間,fang2 jian1,fáng jiān,room (e.g. of a house),,7208
2,216,路,路,lu4,lù,"road, route",,6993
2,174,懂,懂,dong3,dǒng,"to understand
to comprehend","to understand
to comprehend",6923
2,294,正在,正在,zheng4 zai4,zhèng zài,"in the process of (doing something or happening), while (doing),","just at (that time)
right in (that place)
right in the middle of (doing sth)",6653
2,264,笑,笑,xiao4,xiào,"laugh, smile",,6628
2,284,远,遠,yuan3,yuǎn,"far, distant, remote,","far
distant
remote
(intensifier in a comparison) by far
much (lower etc)",6570
2,290,丈夫,丈夫,zhang4 fu5,zhàng fu,"husband, CL:個|个[gè],","husband
CL:個|个[ge4]",6115
2,214,离,離,li2,lí,"(in giving distances) from
to leave, to be away from",,6088
2,270,眼睛,眼睛,yan3 jing5,yǎn jing,eye,"eye
CL:隻|只[zhi1],雙|双[shuang1]",5673
2,212,快乐,快樂,kuai4 le4,kuài lè,"happy, merry",happy; joyful,5505
2,287,早上,早上,zao3 shang5,zǎo shang,early morning,"early morning
CL:個|个[ge4]",4953
2,272,药,藥,yao4,yào,"medicine, drug, cure",,4788
2,239,身体,身體,shen1 ti3,shēn tǐ,"(human) body, health","the body
one's health
CL:具[ju4],個|个[ge4]
in person",4764
2,190,黑,黑,hei1,hēi,black,,4563
2,162,船,船,chuan2,chuán,"boat, vessel, ship",variant of 船[chuan2],4243
2,205,咖啡,咖啡,ka1 fei1,kā fēi,coffee,"coffee (loanword)
CL:杯[bei1]",4195
2,267,休息,休息,xiu1 xi5,xiū xi,"rest, to rest,","rest
to rest",4075
2,194,回答,回答,hui2 da2,huí dá,"reply, answer","to reply; to answer
reply; answer",4070
2,252,外,外,wai4,wài,"outside, foreign, external,","outside
in addition
foreign
external",4058
2,241,生日,生日,sheng1 ri4,shēng rì,birthday,"birthday
CL:個|个[ge4]",3800
2,180,哥哥,哥哥,ge1 ge5,gē ge,older brother,"older brother
CL:個|个[ge4],位[wei4]",3700
2,231,票,票,piao4,piào,"ticket, ballot, bank note","ticket
ballot
banknote
CL:張|张[zhang1]
person held for ransom
amateur performance of Chinese opera
classifier for groups, batches, business transactions",3664
