hanzi,pinyin,english
就,jiu4,"at once, in that case, then"
要,yao1,"want, shall, will, ask for, need"
知道,zhi1 dao4,to know
吧,ba1,"modal particle indicating suggestion or surmise, ...right?, ...OK?, ...I presume.,"
到,dao4,"to reach, to arrive
to (a place)
until (a time)"
也,ye3,also
还,hai2,"still, still in progress, still more"
让,rang4,"to let/permit (sb do sth)
to make/have (sb do or feel sth)"
给,gei3,"to give
preposition like “to” or “for”"
得,de2,"to have to, must, ought to, to need to,
structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc,"
真,zhen1,"really, truly, indeed, real, true, genuine,"
着,zhao1,"aspect particle indicating action in progress,"
可以,ke3 yi3,"can, may, possible, able to,"
别,Bie2,"to leave, to depart, to separate, to distinguish, to classify, other, another, do not, must not, to pin,"
走,zou3,"to walk, to go, to run, to move (of vehicle), to visit, to leave, to go away, to die (euph.), from, through, away (in compound verbs, such as 撤走), to change (shape, form, meaning),"
告诉,gao4 su4,"to tell, to inform, to let know,"
因为,yin1 wei4,"because, owing to, on account of,"
再,zai4,"again, once more, re-, second, another, then (after sth, and not until then),"
快,kuai4,"rapid, quick, speed, rate, soon, almost, to make haste, clever, sharp (of knives or wits), forthright, plain-spoken, gratified, pleased, pleasant,"
但是,dan4 shi4,"but, however,"
已经,yi3 jing1,"already,"
觉得,jue2 de5,"to think, to feel,"
它,ta1,"it,"
从,cong2,"from, via, passing through, through (a gap), past, ever (followed by negative, meaning never), (formerly pr.  and related to 縱|纵) to follow, to comply with, to obey, to join, to engage in, adopting some mode of action or attitude, follower, retainer, accessory, accomplice, related by common paternal grandfather or earlier ancestor,"
找,zhao3,"to try to find, to look for, to call on sb, to find, to seek, to return, to give change,"
最,zui4,"most, the most, -est (superlative suffix),"
为,wei2,"variant of 為|为, because of, for, to,"
可能,ke3 neng2,"might (happen), possible, probable, possibility, probability, maybe, perhaps, CL:個|个[gè],"
次,ci4,"next in sequence, second, the second (day, time etc), secondary, vice-, sub-, infra-, inferior quality, substandard, order, sequence, hypo- (chemistry), classifier for enumerated events: time,"
出,chu1,"to go out, to come out, to occur, to produce, to go beyond, to rise, to put forth, to happen, classifier for dramas, plays, operas etc,"
孩子,hai2 zi5,"child,"
所以,suo3 yi3,"therefore, as a result, so,"
两,liang3,"both, two, ounce, some, a few, tael, weight equal to 50 grams,"
错,Cuo4,"mistake, wrong, bad, interlocking, complex, to grind, to polish, to alternate, to stagger, to miss, to let slip, to evade, to inlay with gold or silver,"
问题,wen4 ti2,"question, problem, issue, topic, CL:個|个[gè],"
一起,yi1 qi3,"in the same place, together, with, altogether (in total),"
开始,kai1 shi3,"to begin, beginning, to start, initial, CL:個|个[gè],"
时间,shi2 jian1,"time, period, CL:段[duàn],"
事情,shi4 qing5,"affair, matter, thing, business, CL:件,樁|桩[zhuāng],"
非常,fei1 chang2,"unusual, extraordinary, extreme, very, exceptional,"
希望,xi1 wang4,"to wish for, to desire, hope CL:個|个[gè],"
准备,zhun3 bei4,"preparation, to prepare, to intend, to be about to, reserve (fund),"
比,Bi3,"(particle used for comparison and ""-er than""), to compare, to contrast, to gesture (with hands), ratio,"
问,wen4,"to ask,"
件,jian4,"item, component, classifier for events, things, clothes etc,"
意思,yi4 si5,"idea, opinion, meaning, wish, desire, CL:個|个[gè],"
第一,di4 yi1,"first, number one,"
进,jin4,"to advance, to enter, to come (or go) into, to receive or admit, to eat or drink, to submit or present, (used after a verb) into, in, to score a goal,"
大家,da4 jia1,"everyone, influential family, great expert,"
新,Xin1,"new, newly, meso- (chemistry),"
您,nin2,"you (courteous, as opposed to informal 你),"
向,Xiang4,"towards, to face, to turn towards, direction, to support, to side with, shortly before, formerly, always, all along,"
女人,nu:3 ren2,"woman,"
穿,chuan1,"to bore through, to pierce, to perforate, to penetrate, to pass through, to dress, to wear, to put on, to thread,"
送,song4,"to deliver, to carry, to give (as a present), to present (with), to see off, to send,"
玩,wan2,"toy, sth used for amusement, curio or antique (Taiwan pr. ), to play, to have fun, to trifle with, to keep sth for entertainment,"
长,chang2,"length, long, forever, always, constantly,"
长,chang2,"chief, head, elder, to grow, to develop, to increase, to enhance,"
号,hao2,"ordinal number, day of a month, mark, sign, business establishment, size, ship suffix, horn (wind instrument), bugle call, assumed name, to take a pulse, classifier used to indicate number of people,"
小时,xiao3 shi2,"hour, CL:個|个[gè],"
男人,nan2 ren2,"a man, a male, men, CL:個|个[gè],"
完,wan2,"to finish, to be over, whole, complete, entire,"
