hanzi,pinyin,english
张,Zhang1,"to open up, to spread, sheet of paper, classifier for flat objects, sheet, classifier for votes,"
每,mei3,"each, every,"
公司,gong1 si1,"(business) company, company, firm, corporation, incorporated, CL:家[jiā],"
帮助,bang1 zhu4,"assistance, aid, to help, to assist,"
晚上,wan3 shang5,"evening, night, CL:個|个[gè], in the evening,"
门,Men2,"gate, door, CL:扇[shàn], gateway, doorway, CL:個|个[gè], opening, valve, switch, way to do something, knack, family, house, (religious) sect, school (of thought), class, category, phylum or division (taxonomy), classifier for large guns, classifier for lessons, subjects, branches of technology,"
欢迎,huan1 ying2,"to welcome, welcome,"
忙,mang2,"busy, hurriedly, to hurry, to rush,"
卖,mai4,"to sell, to betray, to spare no effort, to show off or flaunt,"
高,Gao1,"high, tall, above average, loud, your (honorific),"
房间,fang2 jian1,"room, CL:間|间[jiān],"
路,Lu4,"road, CL:條|条[tiáo], journey, route, line (bus etc), sort, kind,"
懂,dong3,"to understand, to know,"
正在,zheng4 zai4,"in the process of (doing something or happening), while (doing),"
笑,xiao4,"laugh, smile, CL:個|个[gè],"
远,yuan3,"far, distant, remote,"
妻子,qi1 zi3,"wife, CL:個|个[gè],"
丈夫,zhang4 fu5,"husband, CL:個|个[gè],"
离,chi1,"to leave, to part from, to be away from, (in giving distances) from, without (sth), independent of, one of the Eight Trigrams 八卦, symbolizing fire, ☲,"
眼睛,yan3 jing5,"eye, CL:隻|只,雙|双[shuāng],"
快乐,kuai4 le4,"happy, merry,"
早上,zao3 shang5,"early morning, CL:個|个[gè],"
药,yao4,"medicine, drug, cure, CL:種|种,服[fù],"
身体,shen1 ti3,"(human) body, health, CL:個|个[gè],"
黑,Hei1,"black, dark, (loanword) to hack,"
船,chuan2,"a boat, vessel, ship, CL:條|条,艘,隻|只[zhī],"
咖啡,ka1 fei1,"coffee, CL:杯[bēi],"
休息,xiu1 xi5,"rest, to rest,"
回答,hui2 da2,"to reply, to answer, the answer, CL:個|个[gè],"
外,wai4,"outside, in addition, foreign, external,"
生日,sheng1 ri4,"birthday, CL:個|个[gè],"
哥哥,ge1 ge5,"older brother, CL:個|个,位[wèi],"
票,piao4,"ticket, ballot, bank note, CL:張|张[zhāng], person held for ransom, amateur performance of Chinese opera, classifier for shipments and business transactions (topolect),"
手机,shou3 ji1,"cell phone, mobile phone, CL:部,支[zhī],"
洗,xi3,"to wash, to bathe, to develop (photo),"
跳舞,tiao4 wu3,"to dance,"
弟弟,di4 di5,"younger brother, CL:個|个,位[wèi],"
妹妹,mei4 mei5,"younger sister, fig. younger woman (esp. girl friend or rival), CL:個|个[gè],"
红,Hong2,"red, popular, revolutionary, bonus,"
慢,man4,"slow,"
近,jin4,"near, close to, approximately,"
白,Bai2,"white, snowy, pure, bright, empty, blank, plain, clear, to make clear, in vain, gratuitous, free of charge, reactionary, anti-communist, funeral, to stare coldly, to write wrong character, to state, to explain, vernacular, spoken lines in opera,"
姐姐,jie3 jie5,"older sister, CL:個|个[gè],"
介绍,jie4 shao4,"to introduce (sb to sb), to give a presentation, to present (sb for a job etc), introduction,"
鱼,Yu2,"fish, CL:條|条,尾[wěi],"
累,lei3,"tired, weary, to strain, to wear out, to work hard,"
踢,ti1,"to kick, to play (e.g. soccer),"
课,ke4,"subject, course, CL: 門|门[mén], class, lesson, CL:堂,節|节[jié], to levy, tax, form of divination,"
上班,shang4 ban1,"to go to work, to be on duty, to start work, to go to the office,"
旁边,pang2 bian1,"lateral, side, to the side, beside,"
元,Yuan2,"Chinese monetary unit, dollar, primary, first,"
运动,yun4 dong4,"to move, to exercise, sports, exercise, motion, movement, campaign, CL:場|场[chǎng],"
去年,qu4 nian2,"last year,"
报纸,bao4 zhi3,"newspaper, newsprint, CL:份,期,張|张[zhāng],"
颜色,yan2 se4,"color, CL:個|个[gè],"
机场,ji1 chang3,"airport, airfield, CL:家,處|处[chù],"
唱歌,chang4 ge1,"to sing a song,"
千,qian1,"a swing,"
好吃,hao3 chi1,"tasty, delicious,"
考试,kao3 shi4,"to take an exam, exam, CL:次[cì],"
左边,zuo3 bian5,"left, the left side, to the left of,"
姓,xing4,"family name, surname, name, CL:個|个[gè],"
百,Bai3,"hundred, numerous, all kinds of,"
雪,Xue3,"snow, snowfall, CL:場|场[cháng], to have the appearance of snow, to wipe away, off or out, to clean,"
贵,gui4,"expensive, noble, your (name), precious,"
生病,sheng1 bing4,"to fall ill,"
游泳,you2 yong3,"swimming, to swim,"
牛奶,niu2 nai3,"cow's milk, CL:瓶,杯[bēi],"
右边,you4 bian5,"right side, right, to the right,"
便宜,bian4 yi2,"small advantages, to let sb off lightly, cheap, inexpensive,"
起床,qi3 chuang2,"to get out of bed, to get up,"
鸡蛋,ji1 dan4,"(chicken) egg, hen's egg, CL:個|个,打[dá],"
自行车,zi4 xing2 che1,"bicycle, bike, CL:輛|辆[liàng],"
题,Ti2,"topic, problem for discussion, exam question, subject, to inscribe, to mention, CL:個|个,道[dào],"
手表,shou3 biao3,"wrist watch, CL:塊|块,隻|只,個|个[gè],"
旅游,lu:3 you2,"trip, journey, tourism, travel, tour,"
服务员,fu2 wu4 yuan2,"waiter, waitress, attendant, customer service personnel, CL:個|个[gè],"
教室,jiao4 shi4,"classroom, CL:間|间[jiān],"
跑步,pao3 bu4,"to walk quickly, to march, to run,"
阴,Yin1,"overcast (weather), cloudy, shady, Yin (the negative principle of Yin and Yang), negative (electric.), feminine, moon, implicit, hidden, genitalia,"
公斤,gong1 jin1,"kilogram (kg),"
西瓜,xi1 gua1,"watermelon, CL:條|条[tiáo],"
羊肉,yang2 rou4,"mutton,"
晴,qing2,"clear, fine (weather),"
公共汽车,gong1 gong4 qi4 che1,"bus, CL:輛|辆,班[bān],"
打篮球,,"Play basketball,"
