hanzi,pinyin,english
我,wo3,"I, me, my"
你,ni3,you (informal)
是,shi4,"is, are, am, to be"
了,le5,"particle for completed actions, intensifier"
不,bu4,"not, no, (negative prefix)"
的,de5,"of, possessive particle"
在,zai4,(located) at
他,ta1,"he or him
(used for either sex when the sex is unknown or unimportant)"
我們,wo3 men5,"we, us, our"
好,hao3,good
有,you3,"to have, there is, there are"
這,zhe4,this
會,hui4,"can, will, be likely to"
嗎,ma5,yes/no question particle
什麼,shen2 me5,what? something
她,ta1,"she, her"
想,xiang3,"to think, desire, would like to"
一,yi1,"one, 1"
很,hen3,"very, quite"
人,ren2,"person, people"
那,na4,that
來,lai2,to come
都,dou1,all
個,ge4,general measure word
能,neng2,to be able to
去,qu4,to go
沒,mei2,"(negative prefix for verbs), have not, not,"
咊,he2,and
做,zuo4,"to make, to do"
上,shang4,"on top, above"
看,kan4,"to see, look, watch"
怎麼,zen3 me5,how?
現在,xian4 zai4,now
點,dian3,"point, o'clock"
呢,ne5,"reciprocal particle, what about… ?"
太,tai4,"too (much), very, highest"
裏,li3,"in, inside"
听,ting1,to listen
誰,shei2,who?
多,duo1,many
時候,shi2 hou5,time
下,xia4,"down, below"
謝謝,xie4 xie5,"to thank, thanks"
先生,xian1 sheng5,"mister, sir"
喜歡,xi3 huan5,to like
大,da4,big
東西,dong1 xi1,"thing, stuff"
小,xiao3,small
叫,jiao4,"to call, be called (a name)"
不客氣,bu4 ke4 qi5,you're welcome
愛,ai4,to love
年,nian2,year
請,qing3,"to invite, please (request), to treat"
回,hui2,to return
工作,gong1 zuo4,"to work, job, task"
錢,qian2,money
吃,chi1,to eat
開,kai1,"to open, operate"
傢,jia1,home
哪,na3,which
朋友,peng2 you5,friend
媽媽,ma1 ma5,(informal) mother
今天,jin1 tian1,today
几,ji3,how many (small number)
爸爸,ba4 ba5,(informal) father
些,xie1,"measure word indicating a small number, some, a few"
怎麼樣,zen3 me5 yang4,"how about?
how was it?
how are things?"
對不起,dui4 bu5 qi3,"I'm sorry; excuse me; I beg your pardon
to let (sb) down; to disappoint"
住,zhu4,"to live, stay, reside"
三,San1,"three, 3"
高興,gao1 xing4,"happy, glad"
買,mai3,"to buy, to purchase"
醫生,yi1 sheng1,doctor
名字,ming2 zi5,name (of a person or thing)
認識,ren4 shi5,"to know (a person), recognise, be familiar with"
坐,zuo4,to sit
喝,he1,to drink
寫,xie3,to write
月,yue4,"month, moon"
狗,gou3,dog
嵗,sui4,classifier for years (of age)
看見,kan4 jian4,"to see, to catch sight of"
打電話,da3 dian4 hua4,to make a telephone call
喂,wei2,hello (when answering the phone)
兒子,er2 zi5,son
漂亮,piao4 liang5,"pretty, beautiful"
分鐘,fen1 zhong1,minute
再見,zai4 jian4,goodbye
本,ben3,"measure word for books, root, origin"
明天,ming2 tian1,tomorrow
多少,duo1 shao3,how much? (larger number)
塊,kuai4,"piece, measure word for cake, dollars, lumps"
說話,shuo1 hua4,"to speak, to say"
女兒,nv3 er2,daughter
小姐,xiao3 jie5,"young lady, miss"
衣服,yi1 fu5,clothes
水,shui3,water
學校,xue2 xiao4,school
電影,dian4 ying3,movie
書,shu1,book
四,si4,"four, 4"
五,wu3,"five, 5"
醫院,yi1 yuan4,hospital
少,shao3,"few, not many"
沒關係,mei2 guan1 xi5,"it doesn't matter, no worries"
飛機,fei1 ji1,airplane
二,er4,"two, 2"
電視,dian4 shi4,"television, TV"
讀,du2,to read
後面,hou4 mian5,"rear, back, behind, later, afterwards"
昨天,zuo2 tian1,yesterday
日,ri4,day
睡覺,shui4 jiao4,"sleep, to go to bed"
六,liu4,"six, 6"
老師,lao3 shi1,teacher
星期,xing1 qi1,week
十,shi2,"ten, 10"
貓,mao1,cat
電腦,dian4 nao3,computer
熱,re4,"hot, heat, to warm up"
學生,xue2 sheng5,student
下午,xia4 wu3,afternoon
字,zi4,"letter, character, symbol"
學習,xue2 xi2,"to learn, to study"
冷,leng3,cold
前面,qian2 mian4,"ahead, in front, preceding"
八,ba1,"eight, 8"
中國,zhong1 guo2,China
七,qi1,"seven, 7"
菜,cai4,"dish (type of food), vegetable, cuisine"
桌子,zhuo1 zi5,"table, desk"
出租車,chu1 zu1 che1,taxi
天氣,tian1 qi4,weather
茶,cha2,tea
九,jiu3,"nine, 9"
商店,shang1 dian4,"store, shop"
椅子,yi3 zi5,chair
同學,tong2 xue2,classmate
蘋果,ping2 guo3,apple
中午,zhong1 wu3,"noon, midday"
上午,shang4 wu3,morning
水果,shui3 guo3,fruit
零,ling2,zero
杯子,bei1 zi5,cup
下雨,xia4 yu3,to rain
火車站,huo3 che1 zhan4,train station
米飯,mi3 fan4,(cooked) rice
北京,bei3 jing1,Beijing
飯館,fan4 guan3,restaurant
漢語,han4 yu3,Chinese language
