hanzi,pinyin,english
對,dui4,"couple, pair, to be opposite, to oppose, to face, versus, for, to, correct (answer), to answer, to reply, to direct (towards sth), right,"
對,dui4,"couple, pair, to be opposite, to oppose, to face, versus, for, to, correct (answer), to answer, to reply, to direct (towards sth), right,"
過,Guo1,"(experienced action marker), to cross, to go over, to pass (time), to celebrate (a holiday), to live, to get along, excessively, too-,"
過,Guo1,"(experienced action marker), to cross, to go over, to pass (time), to celebrate (a holiday), to live, to get along, excessively, too-,"
死,si3,"to die, impassable, uncrossable, inflexible, rigid, extremely,"
乹,gan1,"tree trunk, main part of sth, to manage, to work, to do, capable, cadre, to kill (slang), to fuck (vulgar),"
而,er2,"and, as well as, and so, but (not), yet (not), (indicates causal relation), (indicates change of state), (indicates contrast),"
起來,qi3 lai5,"(after a verb, indicates beginning or completeness),"
等,deng3,"class, rank, grade, equal to, same as, to wait for, to await, et cetera, and so on, et al. (and other authors), after, as soon as, once,"
等,deng3,"class, rank, grade, equal to, same as, to wait for, to await, et cetera, and so on, et al. (and other authors), after, as soon as, once,"
噹,dang1,"to be, to act as, manage, withstand, when, during, ought, should, match equally, equal, same, obstruct, just at (a time or place), on the spot, right, just at,"
所有,suo3 you3,"all, to have, to possess, to own,"
也許,ye3 xu3,"perhaps, maybe,"
行,hang2,"to walk, to go, to travel, a visit, temporary, makeshift, current, in circulation, to do, to perform, capable, competent, effective, all right, OK!, will do,"
不過,bu4 guo4,"only, merely, no more than, but, however, anyway (to get back to a previous topic),"
發生,fa1 sheng1,"to happen, to occur, to take place, to break out,"
一切,yi1 qie4,"everything, every, all,"
抱歉,bao4 qian4,"to be sorry, to feel apologetic, sorry!,"
感覺,gan3 jue2,"to feel, to become aware of, feeling, sense, perception, CL:個|个[gè],"
肯定,ken3 ding4,"to be sure, to be certain, sure, certain, definite, to confirm, to affirm, affirmative, to approve, approval, recognition,"
